G9zN5TTuGO4_000179_000189#zh#0 在野外，一个人正在悬吊在冰地里面进行作业。
G9zN5TTuGO4_000179_000189#zh#1 一个男人在雪山上打了抓结进行降落。
G9zN5TTuGO4_000179_000189#zh#2 一个穿黑运动服、戴红色头盔的男人正在攀登雪山。
G9zN5TTuGO4_000179_000189#zh#3 一个戴着红色帽子的男子，用一个工具把自己的腰系住，往下面慢慢的在走。
G9zN5TTuGO4_000179_000189#zh#4 一个人腰部拴着绳子，像消防员一样从雪山上向下降落。
G9zN5TTuGO4_000179_000189#zh#5 一个人在借助绳子的条件下顺利的从山上爬下来。
G9zN5TTuGO4_000179_000189#zh#6 一个戴安全帽的人演示使用线束和绳索安全装置。
G9zN5TTuGO4_000179_000189#zh#7 在雪地里，一个男人准备捆好绳子从山上冲下来。
G9zN5TTuGO4_000179_000189#zh#8 一个戴着安全帽的男人调整他的攀登安全带时，奏起了轻快音乐。
G9zN5TTuGO4_000179_000189#zh#9 一个男人站在雪地上，身上拴着绳子，看起来像是在试图从一个洞里拉出什么东西。
CQzUU7-cVck_000006_000016#zh#0 在一个室外，一个人在绳子的牵引下慢慢向地面滑落。
CQzUU7-cVck_000006_000016#zh#1 一个黑衣男子双手捏着安全绳从高台上通过不断蹬墙面的方式下降。
CQzUU7-cVck_000006_000016#zh#2 一个人拉着绳子，一步一步地往下走，走的速度还很快。
CQzUU7-cVck_000006_000016#zh#3 一个穿着短袖，戴着安全帽的人拉着绳子从上往下跳动着。
CQzUU7-cVck_000006_000016#zh#4 一个人顺着绳索脚蹬着前面的木板墙慢慢地往下荡。
CQzUU7-cVck_000006_000016#zh#5 一个男人沿着一堵木墙缓缓的往下着落。
CQzUU7-cVck_000006_000016#zh#6 一个男人从攀岩墙上跳下来，用绳子帮助自己下降。
CQzUU7-cVck_000006_000016#zh#7 一个人使用绳索和滑轮沿着木墙向下推进。
CQzUU7-cVck_000006_000016#zh#8 一个戴着头盔的人从木板做的墙上疾驰而下。
CQzUU7-cVck_000006_000016#zh#9 在室外，一个穿黑色衣服的男子正在拉着一根绳子往下慢慢的走。
OMK0OJ4f_TI_000000_000010#zh#0 一个男人顺着绳子从房子的墙壁上往下滑。
OMK0OJ4f_TI_000000_000010#zh#1 一个人戴着安全绳踩着墙从高处满满降落。
OMK0OJ4f_TI_000000_000010#zh#2 一个绑着绳子的男人从墙上面小心的往地面上爬。
OMK0OJ4f_TI_000000_000010#zh#3 白天的户外，一个人，抓着绳子，在一个建筑物上下来。
OMK0OJ4f_TI_000000_000010#zh#4 一个穿着黄色衣服的人正在从楼上吊着绳子下来。
OMK0OJ4f_TI_000000_000010#zh#5 在一个大风的天气一个人借助绳子从建筑物上面摇摆的爬了下来。
OMK0OJ4f_TI_000000_000010#zh#6 一个人在一个刮风的天气里利用绳索从教堂的塔楼上滑下来。
OMK0OJ4f_TI_000000_000010#zh#7 在一个吹着大风的日子里, 一个人正用吊绳沿着一栋楼往下走。
OMK0OJ4f_TI_000000_000010#zh#8 两个穿着黄色衣服的人用绳索在教堂建筑物上下降。
OMK0OJ4f_TI_000000_000010#zh#9 一个男人拿着一根绳子，沿着墙壁向下跳。
xnyOA58A07Q_000127_000137#zh#0 一个带着红色安全头盔穿着白色短袖的人在安全绳的帮助下在向下攀岩。
xnyOA58A07Q_000127_000137#zh#1 一个人身上捆着绳子从墙边往下面走着。
xnyOA58A07Q_000127_000137#zh#2 一个人头戴帽子，从山上通过绳索慢慢下山。
xnyOA58A07Q_000127_000137#zh#3 一个人拽着一根白色的绳索从墙壁上下降。
xnyOA58A07Q_000127_000137#zh#4 在一个明亮的室外，一个人正在攀爬。
xnyOA58A07Q_000127_000137#zh#5 一个人慢慢依靠悬挂着的绳索从石头上往下移动。
xnyOA58A07Q_000127_000137#zh#6 一个穿着防护装备的女人用绳子攀下悬崖。
xnyOA58A07Q_000127_000137#zh#7 一个人拿着绳子在悬崖上，然后顺着绳子下降。
xnyOA58A07Q_000127_000137#zh#8 一个穿着灰色上衣的女人用绳子从墙上爬下来。
xnyOA58A07Q_000127_000137#zh#9 在岩石攀缘区，一个女人用绳子慢慢地降低自己的身体。
n6lUXDwL4Y0_000022_000032#zh#0 在白天的户外，一个女人抱着一个拽着绳子的男人，从山壁上下来，旁边有两个人在观看。
n6lUXDwL4Y0_000022_000032#zh#1 一名男子吊着威亚正脚蹬着石壁慢慢由高向下落地，而在这个过程中，一名女子也正夹着他的腰坐在他的腿上。
n6lUXDwL4Y0_000022_000032#zh#2 一个男的抱着一个女的从山上下来，他们腰上系着绳子。
n6lUXDwL4Y0_000022_000032#zh#3 一个穿深色衣服的女人抱住一个穿红色上衣的男人，男人带着这个女人利用崖壁上的绳索下降到地面，地面上还站着另外两个人。
n6lUXDwL4Y0_000022_000032#zh#4 一个红衣男子胸前托着一名女子缓慢地从高处用绳子滑落下来地面。
n6lUXDwL4Y0_000022_000032#zh#5 一名男子正在使用设备从岩石上爬下来，有人在他身下，与此同时围观的人在哈哈大笑。
n6lUXDwL4Y0_000022_000032#zh#6 一名经验丰富的登山者在和另一名登山者在绳索上下降。
n6lUXDwL4Y0_000022_000032#zh#7 一个穿红衬衫的男人正在和一个女人在一起，旁观者在地面上看着。
n6lUXDwL4Y0_000022_000032#zh#8 一个穿红色上衣的男子拽着绳子将一个女子从高空带下来。
n6lUXDwL4Y0_000022_000032#zh#9 两个人用绳子从岩山上爬下来。
cU1qVk7HXfE_000304_000314#zh#0 一份穿白色背心的男人正站在灯光前大声呼吸。
cU1qVk7HXfE_000304_000314#zh#1 一个人在狭小的空间里大口喘着气并且惊慌失措。
cU1qVk7HXfE_000304_000314#zh#2 在舞台上，一个男人气喘吁吁地在左顾右盼。
cU1qVk7HXfE_000304_000314#zh#3 一个穿着白色背心的人站在房间里，背后铺着一块布。
cU1qVk7HXfE_000304_000314#zh#4 一个穿着白色背心白色长裤的男人，站在一个四周挂着黑布的房间里大口喘气。
cU1qVk7HXfE_000304_000314#zh#5 一个男人独自站着，然后灯光照射在了他身上。
cU1qVk7HXfE_000304_000314#zh#6 一个年轻人站在一个明亮的地方，灯光照在他身上，他呼吸非常沉重。
cU1qVk7HXfE_000304_000314#zh#7 一个男人正站在荧幕前紧促不安的呼吸。
cU1qVk7HXfE_000304_000314#zh#8 在观众面前的表演期间，一名男子在聚光灯下表演。
cU1qVk7HXfE_000304_000314#zh#9 一个人站在一个黑暗的小舞台上表现得很害怕。
KKm1bM51CZs_000070_000080#zh#0 在一个舞台上面，两个人穿着戏剧服，正在表演节目。
KKm1bM51CZs_000070_000080#zh#1 一个男人和一个女人在舞台上表演节目，台下的人在观看。
KKm1bM51CZs_000070_000080#zh#2 在舞台上，一男一女身着表演服在表演。
KKm1bM51CZs_000070_000080#zh#3 台下的观众在看台上两个人激烈的表演。
KKm1bM51CZs_000070_000080#zh#4 一个男人和一个女人在舞台上表演节目。
KKm1bM51CZs_000070_000080#zh#5 一个男人和一个女人在舞台上表演，女子兴奋地表现出来，然后冷静下来，两人碰了碰手。
KKm1bM51CZs_000070_000080#zh#6 一男一女正在向观众表演印度剧，台下坐着观众。
KKm1bM51CZs_000070_000080#zh#7 一男一女站在舞台上表演一种不一样的戏。
KKm1bM51CZs_000070_000080#zh#8 一名印度男子和一名女子正在观众面前的舞台上表演话剧。
KKm1bM51CZs_000070_000080#zh#9 一对穿着文化服装的男女在舞台上表演。
gSxbTg_EGz4_000046_000056#zh#0 两个男人和一个女人正在舞台上表演节目。
gSxbTg_EGz4_000046_000056#zh#1 三个演员在舞台上表演着精彩的音乐剧。
gSxbTg_EGz4_000046_000056#zh#2 一个戴帽子的男人在说话，一个男人在旁边站着，一个女人蹲在地上。
gSxbTg_EGz4_000046_000056#zh#3 有两名男子和一名蹲在地上的女子，她们在表演。
gSxbTg_EGz4_000046_000056#zh#4 一个穿着红色衣服的人正在和人演戏。
gSxbTg_EGz4_000046_000056#zh#5 一个男人在舞台上围着另外两个人唱歌和跳舞。
gSxbTg_EGz4_000046_000056#zh#6 三个人在台上随着音乐在表演着，一个人从面前走过。
gSxbTg_EGz4_000046_000056#zh#7 一个男人在舞台上走来走去，然后做着动作。
gSxbTg_EGz4_000046_000056#zh#8 两个男人和一个女人正在舞台上表演。
gSxbTg_EGz4_000046_000056#zh#9 三个人在表演, 一名男子在舞台上来回走动。
hceOcG3ZgGk_000073_000083#zh#0 一个穿着白色上衣的长发女人在试戴眼镜，并且在说话。
hceOcG3ZgGk_000073_000083#zh#1 一位女士在眼镜店展示戴眼镜的自己。
hceOcG3ZgGk_000073_000083#zh#2 一个长头发的女人正在展示她脸上戴着的眼睛。
hceOcG3ZgGk_000073_000083#zh#3 在一个明亮的房间里，一个女人试戴着眼镜。
hceOcG3ZgGk_000073_000083#zh#4 一个穿着白色半袖的女人，戴着一个眼镜，在展示着眼镜的效果。
hceOcG3ZgGk_000073_000083#zh#5 一位女性电视主持人模拟并讲述了一副眼镜。
hceOcG3ZgGk_000073_000083#zh#6 一个女人站在一堵巨大的眼镜展示墙前面，戴着一副眼镜。
hceOcG3ZgGk_000073_000083#zh#7 一个年轻的妇女在一个办公室示范如何挑选框架眼睛的。
hceOcG3ZgGk_000073_000083#zh#8 一个穿着白色衣服的女人正在展示一些眼镜。
hceOcG3ZgGk_000073_000083#zh#9 一个长头发的女子一直在说话，并且她拿起了一副眼镜。
1SzM6XlB81s_000000_000010#zh#0 不同的眼镜在不同的模特所戴起来的效果也不同。
1SzM6XlB81s_000000_000010#zh#1 几位年轻人戴着不同的眼镜，为眼镜做代言。
1SzM6XlB81s_000000_000010#zh#2 许多不同的人戴着不同的眼镜，还有两个女人做了飞吻的动作。
1SzM6XlB81s_000000_000010#zh#3 几个人戴着不同颜色的眼镜做些各种动作。
1SzM6XlB81s_000000_000010#zh#4 在白色的背景前，每个人都戴着五颜六色的眼镜。
1SzM6XlB81s_000000_000010#zh#5 各种各样的人展示了一个品牌的透明或有色的眼镜。
1SzM6XlB81s_000000_000010#zh#6 随机的人摘下眼镜，擦着脸，摇摇头，然后飞吻。
1SzM6XlB81s_000000_000010#zh#7 视频中的女人和男人都带着不同颜色的太阳镜做模特。
1SzM6XlB81s_000000_000010#zh#8 一则广告展示了各种眼镜框，一些人甚至在吹吻。
1SzM6XlB81s_000000_000010#zh#9 有几个人戴着眼镜对太阳镜进行宣传。
VlTbwUyIm-k_000072_000082#zh#0 在一间明亮的房间，一个男人嘴巴在一张一合的动着。
VlTbwUyIm-k_000072_000082#zh#1 一个秃顶的男人在室内对着手机录视频。
VlTbwUyIm-k_000072_000082#zh#2 老爷爷在一家眼镜店中，戴着新配的眼镜评论这副眼镜。
VlTbwUyIm-k_000072_000082#zh#3 有个穿西装打领带且戴了眼镜的男子在说话。
VlTbwUyIm-k_000072_000082#zh#4 在一个明亮的房间里，一个戴着领带的男人在说着话。
VlTbwUyIm-k_000072_000082#zh#5 一个戴着眼镜的男人手摸了摸眼镜。
VlTbwUyIm-k_000072_000082#zh#6 一个穿着灰色西装的男人坐在眼镜店里说话。
VlTbwUyIm-k_000072_000082#zh#7 商店里一个男人正在介绍着一副眼镜的时尚感。
VlTbwUyIm-k_000072_000082#zh#8 一个穿着黑色衣服的男人正在戴着一副眼镜说话。
VlTbwUyIm-k_000072_000082#zh#9 一个穿着西服的男子一边在说话一边用手在摸着自己的眼镜。
1nihsi5qNJA_000074_000084#zh#0 一个小朋友坐在椅子上戴上了眼镜随后又摘下了眼镜。
1nihsi5qNJA_000074_000084#zh#1 一个小男孩将眼镜取下又戴上然后在桌子上趴了一会儿又把眼镜取下。
1nihsi5qNJA_000074_000084#zh#2 一个小孩戴上眼镜后趴在桌子上笑。
1nihsi5qNJA_000074_000084#zh#3 一个戴着眼镜身穿蓝色衣服的小男孩在玻璃桌边坐着。
1nihsi5qNJA_000074_000084#zh#4 有一个小男孩坐在椅子上面戴着眼镜面前还有一个飞机模型。
1nihsi5qNJA_000074_000084#zh#5 一个小男孩在调整一副眼镜，然后坐在厨房的桌子上把头放在手上。
1nihsi5qNJA_000074_000084#zh#6 一个小男孩在一个摆放着玩具的桌子旁边调整他的眼镜。
1nihsi5qNJA_000074_000084#zh#7 一个小男孩正在戴上蓝色眼镜, 然后再把它摘下来。
1nihsi5qNJA_000074_000084#zh#8 在一个房间里，一个小男孩试戴他的新眼镜。
1nihsi5qNJA_000074_000084#zh#9 一个坐在桌子旁的小男孩，用双手上下移动了一下戴在眼睛上的眼镜趴在桌子上微笑，然后做起身将眼镜从眼睛上面拿开。
At8LPKnA9Zg_000134_000144#zh#0 在灯光闪烁的舞台上很多人在表演节目。
At8LPKnA9Zg_000134_000144#zh#1 一群人在会场演出，有打鼓的有跳舞的。
At8LPKnA9Zg_000134_000144#zh#2 几个人正在台上跳着舞，后面有人在打鼓。
At8LPKnA9Zg_000134_000144#zh#3 在一个昏暗室内的舞台，一群人正在跳舞和敲鼓。
At8LPKnA9Zg_000134_000144#zh#4 在一个舞台上，有一些人在打鼓，还有一些人在跳舞，台下有人在观看。
At8LPKnA9Zg_000134_000144#zh#5 人们在一场艺术比赛中表演赢得胜利。
At8LPKnA9Zg_000134_000144#zh#6 人们在音乐中跳舞和预演，人们在背景中敲打鼓。
At8LPKnA9Zg_000134_000144#zh#7 一群人在舞台上打鼓几个人女人在前边跳舞。
At8LPKnA9Zg_000134_000144#zh#8 在舞台上，有一群男孩正在打鼓，还有一群女孩正在舞台上跳舞。
At8LPKnA9Zg_000134_000144#zh#9 一群打击乐手在舞台上演奏, 一群男孩和女孩在他们面前跳舞。
RI1-69UIurQ_000035_000045#zh#0 一个戴着耳机男人在电脑面前模拟打架子鼓。
RI1-69UIurQ_000035_000045#zh#1 房间内，一名穿蓝色上衣的男子带着耳机，手里挥舞着动作。
RI1-69UIurQ_000035_000045#zh#2 男子戴着耳机跟着音律陶醉的打着节拍。
RI1-69UIurQ_000035_000045#zh#3 一个戴着眼镜，穿着蓝色衣服的人戴着耳机，双手挥舞。
RI1-69UIurQ_000035_000045#zh#4 一个男人戴着耳机，跟着音乐不停地打着节奏摇摆。
RI1-69UIurQ_000035_000045#zh#5 一名身穿蓝色衬衫和耳机的年轻人表演了一个鼓节，摇滚歌曲正在后台播放。
RI1-69UIurQ_000035_000045#zh#6 一个男人在室内看着屏幕戴着耳机双手舞动。
RI1-69UIurQ_000035_000045#zh#7 在一个房间里，一个男人用耳机聆听着音乐并模仿着鼓手的动作。
RI1-69UIurQ_000035_000045#zh#8 一个穿着蓝色短袖的男人正在房间里听着音乐。
RI1-69UIurQ_000035_000045#zh#9 在室内，一个戴着耳机的男子在随着音乐跳舞。
a8HehnYjquw_000107_000117#zh#0 一个穿着红色衣服的男子坐在鳄鱼背上，用手紧紧抓着鳄鱼的嘴。
a8HehnYjquw_000107_000117#zh#1 一个男人坐在一只鳄鱼的背上，然后用手抓住鳄鱼的嘴巴。
a8HehnYjquw_000107_000117#zh#2 一个戴墨镜的男人用手拿着鳄鱼的嘴。
a8HehnYjquw_000107_000117#zh#3 一个穿着深色衣服的人骑在鳄鱼的背上，手掰着鳄鱼的嘴。
a8HehnYjquw_000107_000117#zh#4 在一个阳光明媚的天气，有一个穿着红色上衣的男人坐在鳄鱼的身上。
a8HehnYjquw_000107_000117#zh#5 一名男子坐在鳄鱼身上，并用手捏着鳄鱼的嘴巴。
a8HehnYjquw_000107_000117#zh#6 一个穿红色衣服的男人坐在鳄鱼身上用手摸着它的嘴巴。
a8HehnYjquw_000107_000117#zh#7 一名男子正坐在鳄鱼身上，同时还抓住鳄鱼的嘴。
a8HehnYjquw_000107_000117#zh#8 一个穿着红色上衣的男人正骑在一条鳄鱼背上。
a8HehnYjquw_000107_000117#zh#9 一名男子坐在鳄鱼的背上，用手抓住鳄鱼的嘴。
Ca7inKrelzI_000064_000074#zh#0 夜晚的户外，一个男人，在水池里，跟一个鳄鱼玩耍，旁边很多人在观看。
Ca7inKrelzI_000064_000074#zh#1 一名身穿黑色上衣的男人，在水内挑逗着鳄鱼。
Ca7inKrelzI_000064_000074#zh#2 一个人在水池中训着动物，旁边围了一群人观看。
Ca7inKrelzI_000064_000074#zh#3 一个穿黑衣服的人站在水里一手拎起一条鳄鱼尾巴，另一只手拿着一根木棍。
Ca7inKrelzI_000064_000074#zh#4 在众人的围观下男子拽住了鳄鱼的尾巴。
Ca7inKrelzI_000064_000074#zh#5 一个男人站在人群中间讲解着怎么捕捉鳄鱼然后示范了一下。
Ca7inKrelzI_000064_000074#zh#6 一个男人在一个水池里抓住一条鳄鱼尾巴拖动。
Ca7inKrelzI_000064_000074#zh#7 一个男人在水池里抓住鳄鱼的尾巴拉着鳄鱼还用一根棍子戳鳄鱼。
Ca7inKrelzI_000064_000074#zh#8 在一个展览区的一个水坑中捕捉一只鳄鱼的牧人。
Ca7inKrelzI_000064_000074#zh#9 一个男人在水池里用手上的棍子跟手扯起水池里小鳄鱼的尾巴。
bxxK9LLquRs_000016_000026#zh#0 在户外一个穿着白色短袖蓝色裤子的人在按着地上的一只动物，旁边有很多人在观看。
bxxK9LLquRs_000016_000026#zh#1 观众在看一个人和一条鳄鱼的搏斗表演。
bxxK9LLquRs_000016_000026#zh#2 一个男人在沙子上安慰一只动物，此时，观众们在笑。
bxxK9LLquRs_000016_000026#zh#3 一个穿着白色上衣的人在制服一个动物，周围有人在围观。
bxxK9LLquRs_000016_000026#zh#4 一群人，在看着，一个身穿白色的上的人在表演。
bxxK9LLquRs_000016_000026#zh#5 一个人在小竞技场上，许多旁观者正在围观他在和一只鳄鱼搏斗。
bxxK9LLquRs_000016_000026#zh#6 一个男人在空地上抓住了一个动物，周围人们在观看。
bxxK9LLquRs_000016_000026#zh#7 一个男人正在人群面前与鳄鱼搏斗。
bxxK9LLquRs_000016_000026#zh#8 一个男人正在围栏里抓住一只动物。
bxxK9LLquRs_000016_000026#zh#9 一个男人在沙子里控制着鳄鱼，周围很多观众在观看。
HvnLVSTwOUE_000239_000249#zh#0 一个没有头发的男子坐在桌子后面，桌子上是一个笔记本电脑，电子双手扣着放在电脑上，嘴里在说话。
HvnLVSTwOUE_000239_000249#zh#1 一个光头男人在一个平板电脑面前说话。
HvnLVSTwOUE_000239_000249#zh#2 一个穿黑色短袖的男子的男子，双手十指交叉放在胸前，肘部放在面前的桌子上，桌子上有一台电脑，不一会儿，男子半个手臂都放在了桌子上。
HvnLVSTwOUE_000239_000249#zh#3 一个穿着灰色短袖的男人正在说话，他面前放着一台苹果的笔记本电脑。
HvnLVSTwOUE_000239_000249#zh#4 一个穿黑色衣服的男人坐在笔记本面前说着话。
HvnLVSTwOUE_000239_000249#zh#5 一个人坐在他的笔记本电脑前，谈论着事情。
HvnLVSTwOUE_000239_000249#zh#6 一个人正坐在一张放着电脑的桌子前说着一些话。
HvnLVSTwOUE_000239_000249#zh#7 一个坐在苹果笔记本电脑前面的男人正在回答问题。
HvnLVSTwOUE_000239_000249#zh#8 一个穿着灰色上衣的男人正在桌子上讲话。
HvnLVSTwOUE_000239_000249#zh#9 在室内，一个男子对着一台笔记本电脑一直在说话。
TZ0l4CSYI0Y_000419_000429#zh#0 一个穿着条纹衣服、黑色裤子的老奶奶坐在椅子上微笑。
