3c0hLqxvSSI_000000_000010#enc2zh#0 在不同的变异的平台上的一个人俯卧撑
3c0hLqxvSSI_000000_000010#enc2zh#1 一个男人正在使用支持块在健身房俯卧撑
3c0hLqxvSSI_000000_000010#enc2zh#2 一个男人在一个执行一系列俯卧撑的平台上
3c0hLqxvSSI_000000_000010#enc2zh#3 在蓝色坦克顶部和黑短裤的一个健身房里面在平台上执行俯卧撑
3c0hLqxvSSI_000000_000010#enc2zh#4 一个男人孜孜不倦地解决，在凸起的平台上执行俯卧撑
3c0hLqxvSSI_000000_000010#enc2zh#5 在一个健身房，一个人正在做不同类型的俯卧撑
3c0hLqxvSSI_000000_000010#enc2zh#6 一个人在平台上做俯卧撑，而音乐在背景中播放
3c0hLqxvSSI_000000_000010#enc2zh#7 在音乐剧的时候，健身房的一个男人在平台上进行不同的俯卧撑
3c0hLqxvSSI_000000_000010#enc2zh#8 在一个平台上，从水泥地上抬起一只脚，一个男人确实俯卧撑
3c0hLqxvSSI_000000_000010#enc2zh#9 一个人正在通过在平板上俯卧撑来锻炼
nM_ySHgMPW0_000000_000010#enc2zh#0 一个男人假装他从嘴里射出火灾
nM_ySHgMPW0_000000_000010#enc2zh#1 假装射击他的嘴的男人的镜头
nM_ySHgMPW0_000000_000010#enc2zh#2 一个男人假装从嘴里呼吸着火
nM_ySHgMPW0_000000_000010#enc2zh#3 拿着某事在他的脸附近的人举行了一块火焰，使它看起来像他呼吸火
nM_ySHgMPW0_000000_000010#enc2zh#4 一个男人假装从嘴里躲起来的火焰时呼吸着火炬
nM_ySHgMPW0_000000_000010#enc2zh#5 一个男人假装从嘴里爆炸
nM_ySHgMPW0_000000_000010#enc2zh#6 一个男人站在一个门的一侧，射击一只手拿着丙烷坦克，让它看起来像火焰出来的嘴巴
nM_ySHgMPW0_000000_000010#enc2zh#7 背部的人假装呼吸火焰，同时隐藏在他的脸颊后面的罐头气溶胶
nM_ySHgMPW0_000000_000010#enc2zh#8 一个男人似乎从门前从这个嘴里吹火
nM_ySHgMPW0_000000_000010#enc2zh#9 一个男人正在使用一些东西来制作大火焰并假装它从嘴里出来
2ZM-QBfHV1o_000000_000010#enc2zh#0 一群女性在排球场的播出法院，而播音员会谈
2ZM-QBfHV1o_000000_000010#enc2zh#1 女孩篮球队在一个挤在健身房楼
2ZM-QBfHV1o_000000_000010#enc2zh#2 一支女性球队在健身房楼上，在他们等待下一个游戏时握着手
2ZM-QBfHV1o_000000_000010#enc2zh#3 一群年轻的女运动员在一场比赛中的一段时间内聚集在他们的教练周围
2ZM-QBfHV1o_000000_000010#enc2zh#4 女孩排球队在比赛前得到了抽水
2ZM-QBfHV1o_000000_000010#enc2zh#5 穿着绿色和黑色制服的篮球在一个体育馆里挤在一起
2ZM-QBfHV1o_000000_000010#enc2zh#6 一群年轻妇女佩带的队颜色在一个室内宫廷一起挤在一起，并举起手
2ZM-QBfHV1o_000000_000010#enc2zh#7 一群女孩在教练走上了一群排球场
2ZM-QBfHV1o_000000_000010#enc2zh#8 一支女排队在播音员讲话时站在边线上
2ZM-QBfHV1o_000000_000010#enc2zh#9 一群玩家与他们的教练一起在球场上忍住了
RobaLsTI7Qc_000001_000011#enc2zh#0 一个女人用嘴巴从一个男人的腹股沟区拉出一个杯子
RobaLsTI7Qc_000001_000011#enc2zh#1 一个男人坐在看起来像一个酒吧，而女人在他面前跪在他面前
RobaLsTI7Qc_000001_000011#enc2zh#2 在一个男人们正在拍摄一个男人
RobaLsTI7Qc_000001_000011#enc2zh#3 一个女人从一个男人的相当裤子去除一杯镜头，喝镜子而不用她的手
RobaLsTI7Qc_000001_000011#enc2zh#4 一个女人在一个男人面前跪下，只使用她的嘴从他的腿上拿起一杯玻璃杯，喝它
RobaLsTI7Qc_000001_000011#enc2zh#5 一个女人在一个男人的裤子上拍摄镜头杯，而背景上的人叫喊
RobaLsTI7Qc_000001_000011#enc2zh#6 一个女人从一个男人裤子的拉链射击酒精
RobaLsTI7Qc_000001_000011#enc2zh#7 一名妇女从一个男人的裆部地区射杀液体
RobaLsTI7Qc_000001_000011#enc2zh#8 一个女人被一个男人的拉链放下了他的脸，用嘴巴抓住一些人和男人欢呼
RobaLsTI7Qc_000001_000011#enc2zh#9 一个女人从一个男人的膝盖上抓住一杯玻璃，同时坐在他面前的地板上，他大喊
X-hblwx33Ys_000006_000016#enc2zh#0 一个男人在垃圾桶里散步，完全完全饱满，然后砸到坐在上面的电脑监视器用棒球棒
X-hblwx33Ys_000006_000016#enc2zh#1 一个人在垃圾桶上走到电视上，并用蝙蝠打破它
X-hblwx33Ys_000006_000016#enc2zh#2 这个家伙在垃圾桶里找到了一台电脑显示器并粉碎它很难
X-hblwx33Ys_000006_000016#enc2zh#3 一个男孩用蝙蝠走到垃圾的电视上，粉碎了一个狡猾的人
X-hblwx33Ys_000006_000016#enc2zh#4 一个人使用棒球棒来击中坐在垃圾箱的盖子上的电视或监视器
X-hblwx33Ys_000006_000016#enc2zh#5 一个棒球棒在垃圾桶顶部的笔记本电脑上击中一个人
X-hblwx33Ys_000006_000016#enc2zh#6 一个有棒球棒的年轻人用它粉碎电视，而坐在垃圾桶户外
X-hblwx33Ys_000006_000016#enc2zh#7 一个男人拿一个棒球棒，走到外面的电脑监视器，然后用一个打击屏幕
X-hblwx33Ys_000006_000016#enc2zh#8 一个年轻人使用棒球棒来粉碎坐在垃圾桶顶部的旧电视
X-hblwx33Ys_000006_000016#enc2zh#9 一个带棒球棒的男人在垃圾桶顶部击中旧显示器
URpJfPMoX_Y_000428_000438#enc2zh#0 青少年乐队在表演中扮演一个音乐作品作为指挥手术
URpJfPMoX_Y_000428_000438#enc2zh#1 一群人正在演奏不同的乐器一个女孩指导他们
URpJfPMoX_Y_000428_000438#enc2zh#2 一群人为进行他们的人玩一些音乐
URpJfPMoX_Y_000428_000438#enc2zh#3 一群女子在舞台上的黑色AE作为女人正在进行
URpJfPMoX_Y_000428_000438#enc2zh#4 一群穿着黑色的音乐家正在玩单簧管
URpJfPMoX_Y_000428_000438#enc2zh#5 管弦乐队在导线移动胳膊周围时发挥音乐
URpJfPMoX_Y_000428_000438#enc2zh#6 一名学校乐队在玩一首歌时被带领
URpJfPMoX_Y_000428_000438#enc2zh#7 一个人在舞台上指示一个乐队玩一些音乐
URpJfPMoX_Y_000428_000438#enc2zh#8 在佩戴匹配的黑色服装时，学校乐队在舞台上表演
URpJfPMoX_Y_000428_000438#enc2zh#9 一位教练正在指导管弦乐队如何以及何时扮演音符
wDV6b2lclRs_000002_000012#enc2zh#0 一个年轻的男孩穿过一条街道，有人扔他一个球来捕获，但他掉了下来
wDV6b2lclRs_000002_000012#enc2zh#1 一个男孩在街上跑步，捕捉球并下降
wDV6b2lclRs_000002_000012#enc2zh#2 一个人在外面准备在与许多人身上扔足球
wDV6b2lclRs_000002_000012#enc2zh#3 一个男孩在街上跑过杆，然后落到地上
wDV6b2lclRs_000002_000012#enc2zh#4 一个孩子在街上跑来跑去捕捉球和绊倒
wDV6b2lclRs_000002_000012#enc2zh#5 一个人正在跑，而另一个人扔了一些东西
wDV6b2lclRs_000002_000012#enc2zh#6 一个年轻的男孩跑到街上，以抓住一个球
wDV6b2lclRs_000002_000012#enc2zh#7 一个孩子抛出了他的朋友，但朋友们错过了足球并在杆上跳闸
wDV6b2lclRs_000002_000012#enc2zh#8 一个男孩在街上跑到足球通行证和错过
