sf2PPeXQrUA_000000_000010#enc2zh#0 一个男孩踢了一个领域的足球，一个女孩在它之后奔跑
sf2PPeXQrUA_000000_000010#enc2zh#1 年轻男孩踢足球，并奔向第一个基地女孩追逐球后，另一个男孩朝着基地奔跑但转身
sf2PPeXQrUA_000000_000010#enc2zh#2 一个年轻的男孩在足球比赛中踢球，使用球员舍入基地
sf2PPeXQrUA_000000_000010#enc2zh#3 一群儿童和青少年发挥了一场踢球游戏
sf2PPeXQrUA_000000_000010#enc2zh#4 孩子正在玩一场踢球和一个男孩踢一个深
sf2PPeXQrUA_000000_000010#enc2zh#5 一群邻里的孩子和父母在一个开放的领域玩踢球
sf2PPeXQrUA_000000_000010#enc2zh#6 一群人在一个大型领域演奏一场踢球比赛
sf2PPeXQrUA_000000_000010#enc2zh#7 男孩在踢球比赛期间踢球并跑到基地
sf2PPeXQrUA_000000_000010#enc2zh#8 在一个草地上播放了衣服踢球比赛
sf2PPeXQrUA_000000_000010#enc2zh#9 一群孩子和一个男人在一个开放的领域踢足球
rIJPGdtdaHg_000006_000016#enc2zh#0 两名男子从卡中删除轮胎第三个人穿上一个新的轮胎前两个中的一个附着它
rIJPGdtdaHg_000006_000016#enc2zh#1 赛车在比赛之前快速地拆除了他的轮胎
rIJPGdtdaHg_000006_000016#enc2zh#2 一群男人正在赛车上改变轮胎
rIJPGdtdaHg_000006_000016#enc2zh#3 在赛车上改变轮胎的坑船员的定时做法
rIJPGdtdaHg_000006_000016#enc2zh#4 一名船员正在将前轮胎更换在赛车上，然后汽车被重新调整
rIJPGdtdaHg_000006_000016#enc2zh#5 几名男子迅速从赛车上拆下轮胎，并用另一个轮胎替换它
rIJPGdtdaHg_000006_000016#enc2zh#6 一群人正在轮流在一辆赛车上对轮胎做点什么
rIJPGdtdaHg_000006_000016#enc2zh#7 一群人作为一个坑船员来改变轮胎，因为一个男人监督他们的工作
rIJPGdtdaHg_000006_000016#enc2zh#8 几个人正在蹲着和练习在赛车上改变轮胎
rIJPGdtdaHg_000006_000016#enc2zh#9 一群男人在赛车周围聚集，因为两名男子迅速改变轮胎
6FjgdUricEs_000022_000032#enc2zh#0 窗户垫圈展示了他避免条纹的技术
6FjgdUricEs_000022_000032#enc2zh#1 一个人在窗口上使用刮水器然后使用毛巾干燥一些窗口
6FjgdUricEs_000022_000032#enc2zh#2 一个男人正在洗一个窗户然后用毛巾擦干窗户
6FjgdUricEs_000022_000032#enc2zh#3 一个男人用刮刀清洁窗户，擦干它
6FjgdUricEs_000022_000032#enc2zh#4 一个男人露出窗户清洁剂和擦拭窗口并干燥窗户
6FjgdUricEs_000022_000032#enc2zh#5 一个男人从后面拉出一个刮刀来清洁一个窗户，然后用毛巾干燥
6FjgdUricEs_000022_000032#enc2zh#6 一个人在窗口上使用刮水器然后用毛巾擦拭窗口的边缘
6FjgdUricEs_000022_000032#enc2zh#7 一个人在自己清洁窗口的视频上发声
6FjgdUricEs_000022_000032#enc2zh#8 一个男人演示并讲述了如何使用刮刀清洁窗口
6FjgdUricEs_000022_000032#enc2zh#9 一个男人正在展示如何使用一块布清洁窗户
-PCVHF3Kp3M_000169_000179#enc2zh#0 一个破碎的吉他的碎片被一个年轻人扔到地毯上，他的脸上咧嘴一笑
-PCVHF3Kp3M_000169_000179#enc2zh#1 吉他被爆破到地板上的碎片，两个男孩互相交谈
-PCVHF3Kp3M_000169_000179#enc2zh#2 看到一把吉他落到了从身体脱落的脖子和一个男孩看着相机点头并走开了
-PCVHF3Kp3M_000169_000179#enc2zh#3 吉他落在地上，它突破了很多碎片
-PCVHF3Kp3M_000169_000179#enc2zh#4 一个男人看着一块破碎的吉他，然后谈到相机
-PCVHF3Kp3M_000169_000179#enc2zh#5 一个年轻人在地板上扔了一把破碎的吉他，因为他发表一些评论
-PCVHF3Kp3M_000169_000179#enc2zh#6 一个男孩在地上扔吉他，粉碎了碎片
-PCVHF3Kp3M_000169_000179#enc2zh#7 另一个年轻人被突破吉他，而另一个人记录他
-PCVHF3Kp3M_000169_000179#enc2zh#8 一个年轻人在地上扔了一个破碎的吉他
-PCVHF3Kp3M_000169_000179#enc2zh#9 在一个房间里粉碎吉他并与别人交谈的人
cb3RvnukQVs_000159_000169#enc2zh#0 在他打蜡后，一个女人清理一个男人的腹部的头发
cb3RvnukQVs_000159_000169#enc2zh#1 一名赤膊男子躺在他的背上让痛苦的痛苦成为一只女性笑声使用布料浸泡在他身上，解释说它被困在他身上
cb3RvnukQVs_000159_000169#enc2zh#2 一个女人正在打蜡痛苦的另一个男人的肚子
cb3RvnukQVs_000159_000169#enc2zh#3 一个男人的胸部和胃头发醒来
cb3RvnukQVs_000159_000169#enc2zh#4 一个男人正在躺在肚子上被一个女人打蜡
cb3RvnukQVs_000159_000169#enc2zh#5 一个男人在他的背上躺在他的背上，而女人使用蜡条来帮助去除头发
cb3RvnukQVs_000159_000169#enc2zh#6 一个躺在他背上的一个人，因为女人试图遮盖他的胸膛和胃
cb3RvnukQVs_000159_000169#enc2zh#7 一个女人用湿组织擦拭男人的胃
cb3RvnukQVs_000159_000169#enc2zh#8 一个男人在铺在床上时醒来的胸头发
cb3RvnukQVs_000159_000169#enc2zh#9 一个女人看着一个男人的裸胸部，用纸巾去除多余的蜡
RbpDta9EICM_000082_000092#enc2zh#0 一个女孩走到房子的一侧然后试图做3个倒立
RbpDta9EICM_000082_000092#enc2zh#1 一个女孩尝试几次倒钩墙壁
RbpDta9EICM_000082_000092#enc2zh#2 一个年轻的女孩在外面的小屋旁边做了几次手倒
RbpDta9EICM_000082_000092#enc2zh#3 做多次尝试的女孩在外面在草做一个手倒立
RbpDta9EICM_000082_000092#enc2zh#4 一位女性在外面，准备做一只手站在墙上
RbpDta9EICM_000082_000092#enc2zh#5 一个年轻的女孩走到外面的棚子外，试图对它进行多次倒立
RbpDta9EICM_000082_000092#enc2zh#6 一个年轻的女孩两次尝试在户外做一个接头，但不能成功地做到这一点
RbpDta9EICM_000082_000092#enc2zh#7 一个女孩正在做一只手站落在手中，并做另一个
RbpDta9EICM_000082_000092#enc2zh#8 一个年轻的女孩在建筑物旁边做一个倒立
RbpDta9EICM_000082_000092#enc2zh#9 一个年轻人试图在外面伸手去建筑物
QDUZ4L9gpP8_000317_000327#enc2zh#0 一个人使用吹风机和刷子造型的人的头发
QDUZ4L9gpP8_000317_000327#enc2zh#1 一个女人正坐在沙龙上，让她的头发干燥另一个女人解释了这个过程
QDUZ4L9gpP8_000317_000327#enc2zh#2 一个男孩的头发梳理，然后用鼓风机吹来
QDUZ4L9gpP8_000317_000327#enc2zh#3 一个女人正在吹干另一个女人的头发，同时解释她是如何做的
QDUZ4L9gpP8_000317_000327#enc2zh#4 在一个美发沙龙中，有人刷牙和吹干别人的头发
QDUZ4L9gpP8_000317_000327#enc2zh#5 一个女人坐在椅子上，因为另一个女人干着她的头发
QDUZ4L9gpP8_000317_000327#enc2zh#6 一个女孩正在通过使用吹风机和梳子的另一个人来完成她的头发
QDUZ4L9gpP8_000317_000327#enc2zh#7 一个女人叙述了她展示了她如何在沙龙中擦手和刷掉另一个头发
QDUZ4L9gpP8_000317_000327#enc2zh#8 一个人在解释她在做什么时刷另一个人的头发
QDUZ4L9gpP8_000317_000327#enc2zh#9 一个女人正在使用梳子和吹风机来擦拭另一个女人的头发
