video9770#zh#0 一个人正在连接某物到系统
video9771#zh#0 一个小女孩在做体操
video7020#zh#0 一个人用橡皮泥制作了一个娃娃和一朵花
video9773#zh#0 一个男孩在玩《侠盗猎车手5》
video7026#zh#0 一名男子正在对一辆车进行评价
video9775#zh#0 一个男人在教室里和孩子们说话
video9776#zh#0 一只米老鼠正在和另一只说话
video7025#zh#0 一个裸体的孩子在场地上奔跑
video9778#zh#0 一个小男孩在评委和观众面前唱歌
video9779#zh#0 烟花被点燃并在夜空中燃放
video7028#zh#0 一个男人正站在路上唱歌
video7029#zh#0 儿童卡通节目
video9772#zh#0 一些卡通人物正在一个区域内移动
video7021#zh#0 棒球手打球
video9774#zh#0 一枚火箭正在发射升空，并且有一股蓝色的烟雾从火箭底部冒出来
video7027#zh#0 视频中的男子正在展示电影开始的一个片段
video9731#zh#0 一个女人在搅拌碗里搅拌食物
video7024#zh#0 宠物店的小猫正在浴缸里用刷子清洗
video9777#zh#0 一个学生向他的老师解释另一个学生的羊的情况
video8913#zh#0 关于不同体育运动的视频
video8912#zh#0 一家人在聊天
video8911#zh#0 一个电脑生成的卡通人物操纵着控制面板，而另一个角色则在后面沉睡 
video8910#zh#0 给披萨添加配料
video8917#zh#0 两个人讨论社会问题
video8916#zh#0 海绵、乌贼和海星的卡通
video8915#zh#0 烹饪食物的人
video8914#zh#0 模特们走在短短的T台上
video8919#zh#0 一个男人在台上讲话
video8918#zh#0 理发师和顾客用孩子的声音相互交谈
video9545#zh#0 一个人在谈论年度十佳电影
video7704#zh#0 一个鼻子很红的男人
video7118#zh#0 恐怖片中的一个小女孩被鬼缠身了
video7119#zh#0 新闻记者谈论圣地亚哥部分地区的一个异象
video7116#zh#0 一群人正在散步，一个女人正在谈论他们的文化
video7117#zh#0 人们在沙滩上唱歌
video7114#zh#0 一个女孩和一个男人正在谈话
video7115#zh#0 一个男人正在炫耀一辆新车
video7112#zh#0 当其他的朋友也尝试着投篮的时候，另一个人却渴望着实现他的第四次成功的投篮
video7113#zh#0 穿粉红色衣服的孩子在一个开放的盒子里看着一只白色的小鸟
video7110#zh#0 有一个人在走廊里向其他人开枪
video9542#zh#0 橄榄球的体育视频剪辑
video9679#zh#0 移动支架的演示
video8978#zh#0 乐队在表演一首名叫“夜空璀璨的星钻”的硬摇滚歌曲
video8464#zh#0 共和党总统候选人辩论的基本规则被介绍
video7701#zh#0 卡通汽车微笑着说话并在城市道路上行驶
video7438#zh#0 一家商店的商品正在被展出
video8899#zh#0 有一些人在繁忙的道路上过马路
video8895#zh#0 一男一女在海滩上唱歌
video7431#zh#0 一名男子谈论美国国家航空航天局技术报告的发表
video9549#zh#0 一个人浏览电脑程序菜单时的视频
video8829#zh#0 两名男子谈论窃取土地和圣经的事
video8828#zh#0 电视节目主持人谈论威尔·史密斯和其他演员及其各自的角色
video8827#zh#0 卡通女孩正在说话
video8826#zh#0 一位女士在她的节目中发言
video8825#zh#0 一个女人举着一件皮衣
video9548#zh#0 一名记者在靶场提问
video8823#zh#0 男人在做摔跤
video8822#zh#0 新闻播音员在新闻节目“信息战争”中谈到了一起校园枪击事件
video8821#zh#0 两个男人和一个女人坐在椅子上
video8820#zh#0 一个人骑着一辆橙色的摩托车上山，然后摔倒了
video9518#zh#0 人们用声音表演
video9519#zh#0 男孩乐队为观众表演
video7432#zh#0 一个人在电脑上看数据
video9503#zh#0 一个女人正在谈论有补丁或裂缝的牛仔裤是多么的时尚
video9510#zh#0 口袋妖怪电子游戏
video7751#zh#0 两名女性罕见地在洛杉矶的网站坐着说话
video7752#zh#0 一名男子谈论驾驶和汽车模型
video9513#zh#0 一个女人在微笑
video7754#zh#0 这是一段电视直播节目的视频
video9515#zh#0 一个男孩在唱歌
video9516#zh#0 人们在体育场欢呼
video9517#zh#0 一个关于超重人群的新闻节目
video9677#zh#0 一个穿着红衬衫的人一边开车一边说话
video7436#zh#0 一名男子脸部中弹
video7822#zh#0 许多女士和男士正在一个笼子里上楼
video9204#zh#0 一名新闻记者谈到了一起枪击案
video9205#zh#0 一名女子就她在巴西抗议活动中的角色接受采访
video9206#zh#0 一名男子用拳头敲打水龙头，以显示瓶装水有多好
video9207#zh#0 一位女士正在化妆，尤其是在眼睛周围
video9200#zh#0 在一个视频游戏的三个不同场景中，动物们通过思维泡泡相互交流。
video9201#zh#0 一部即将上映的电影的预告片，里面的人在海滩上
video9202#zh#0 一个在舞台上唱歌的女孩
video9203#zh#0 这个人正在给一群人做一个关于告诉他们某人某事的信息的演讲
video8690#zh#0 一位金发女子正在讲话，然后出现了一个用于订阅她的网络广播的单选按钮
video9208#zh#0 一个卡通男子的脚被怪物抓住了
video9209#zh#0 女孩射出她的纳夫弓
video7753#zh#0 一名男子正在一个时事电视节目上发表评论
video9647#zh#0 体育运动正在进行
video7669#zh#0 三个女人在音乐的伴奏下做时装秀
video9349#zh#0 一个人展示了如何制作物品
video9348#zh#0 时装秀上穿着不同风格服装走在舞台上的女人
video9341#zh#0 媒体宁愿采访他们能找到的最无知的人，也不愿采访美女
video9340#zh#0 一个悲伤的人，另一个试图去安慰
video9343#zh#0 一个女人正在切蔬菜，装饰菜肴
video9342#zh#0 水上安全小组带着安全装置和水上自行车来救一名被水冲走的人
video9345#zh#0 卡通鸟在飞翔
video9344#zh#0 一个人玩游戏的游戏画面
video9347#zh#0 一个穿红连衣裙的女人正在解释坐垫
video9346#zh#0 一个正在做photoshop教程的女人
video7826#zh#0 一个女孩正在准备土豆球，并解释了食谱
video9885#zh#0 一位电影导演在新闻发布会上对媒体谈到了他的电影和男主角
video9882#zh#0 一位新闻读者正在阅读新闻，并向一些人提问
video8578#zh#0 一个男人一边玩我的世界一边讲解
video7827#zh#0 人们举着标语走在街上
video7035#zh#0 有一个人在电脑上玩游戏
video9581#zh#0 当一个女人说话的时候，宁静的音乐在山的风景中播放
video7034#zh#0 穿着黑色衬衫的男子倒提着一个婴儿，谈论着环球影城
video9580#zh#0 动物们在一起玩得很开心，还在吃东西
video8573#zh#0 一个摇滚乐队演唱他们歌曲的视频
video8572#zh#0 一个男人抓住蛇，把它们扔到房间里
video8346#zh#0 一个人在谈论两位将军之间的战争，其中一位成为了国王
video8347#zh#0 一个人谈论一些女孩的视频
video8344#zh#0 一个男人正开着车在乡间穿梭
video8345#zh#0 一个女人喂另一个女人
video8342#zh#0 穿粉色连衣裙的时装模特女孩走在坡道上
video8343#zh#0 一个男人拿着一个咖啡杯
video8340#zh#0 一男一女站在卧室里
video8341#zh#0 卡通人物正在和口袋妖怪说话
video7825#zh#0 两位女士和两位男士坐着谈话
video8348#zh#0 一个女人在她家免费照看被遗弃的孩子
video8349#zh#0 朋友们喜欢吃东西
video9589#zh#0 一个女人在田野里演奏乐器
video9837#zh#0 《使命召唤》黑色行动中一场疯狂杀戮的视频游戏片段
video9836#zh#0 一个女人正在搅拌食物
video9835#zh#0 女人们坐在笔记本电脑前互相交谈
video8851#zh#0 一群印度人在雨中的桥上见面
video9833#zh#0 机场安检人员解释了运输药品的要求
video9832#zh#0 一个电子游戏角色骑着摩托车四处转悠
video9831#zh#0 一群人在船上游泳，一只猴子在树上走
video9830#zh#0 有些人在水下游泳，这是一项很好的工作
video9839#zh#0 一匹动画的马在谷仓里，制作者想要询问意见。
video9838#zh#0 口袋妖怪跳舞的卡通片段
video7111#zh#0 这是一部动画片
video8089#zh#0 一名警察开着他的白色汽车来到一片草地上，然后又回到街上
video9728#zh#0 一个男人在谈论库鲁病
video8122#zh#0 可怕的动画场景
video8123#zh#0 一位女士正在演示婴儿推车
video8120#zh#0 一位嘉宾正在与一位电视节目主持人交谈
video8121#zh#0 后面有一个电阻器
video7839#zh#0 这是一个体育汇编
video7838#zh#0 在YouTube视频的最后，一个男人在大声的音乐中说话
video8124#zh#0 篮球运动员在最后七秒内投进了一球
video8125#zh#0 一个戴着飞行装置的人在田间坠落
video7835#zh#0 两个卡通人物在水下行走
video7834#zh#0 一名身穿条纹领衬衫的男子在彭博新闻室谈论工作
video8128#zh#0 一个卡通人物准备骑自行车
video7836#zh#0 一个戴着帽子跳舞的女孩
video7831#zh#0 一名年轻女孩正在虐待一名年轻男子
video7830#zh#0 这是一个年轻男孩的照片的拍摄
video7833#zh#0 一个男人在谈论生意
video7832#zh#0 一对男女在地铁上对视
video7506#zh#0 一辆电子游戏车正在肆无忌惮地行驶
video7501#zh#0 威尔·史密斯主演过很多电影，包括电影《阿里》
video8423#zh#0 一位女性在一间白色主题浴室里，而另一位女性正在为她化妆
video7500#zh#0 一个足球队出场
video7233#zh#0 两个人戴着耳机在超级计算机上工作的画面
video7232#zh#0 电脑上的“天空之路”游戏
video7231#zh#0 介绍某人的女人
video7230#zh#0 一个女人正在谈论一辆婴儿车
video7237#zh#0 有一个人正在修理桌子上的产品
video7236#zh#0 有个人在建筑物周围走动
video7235#zh#0 一只乌贼骑着自行车仰望树屋的卡通画
video7234#zh#0 两个男人在一个女人的两侧，正在讨论一个问题
video8650#zh#0 举行新闻发布会
video8651#zh#0 一个男人谈论汽车
video8652#zh#0 一名男子在试图接住篮球时冲进人群
video7502#zh#0 一位讲述者解释了在《侠盗猎车手》中在哪里可以找到一辆罕见的汽车
video8654#zh#0 一个女人在煮一种橙色物质
video8655#zh#0 一只动物正在扔一块垃圾
video8656#zh#0 她用了一台电动搅拌器
video8657#zh#0 一个男人骑着他的摩托车来到一座大楼前
video7898#zh#0 桌子上碗里的沙拉正在被拍摄
video9901#zh#0 一个戴眼镜、留着山羊胡的男人在谈论他以前的工作
video8459#zh#0 马里奥和朋友一起玩电子游戏
video8514#zh#0 一个人正在将蔬菜放入水中煮沸
video7909#zh#0 一个女人拿着一个丝带
video8456#zh#0 一个男人对着某个人说话，也对着摄像机说话
video8018#zh#0 一个小女孩正在购物
video8457#zh#0 一个人划着皮划艇的慢动作
video8016#zh#0 一只狗和一只猫在对峙
video7900#zh#0 一个男人谈论DNA的影响
video8014#zh#0 一群人手里拿着可乐在唱歌
video7902#zh#0 一个玩猫尾巴的婴儿
video8012#zh#0 一个女人跳过柜台并抨击了一个男人
video8013#zh#0 一段展示体育赛事镜头的视频
video8010#zh#0 乐高的风暴推进器在一个设施里
video8011#zh#0 一个女孩谈论照片和她的生活
video7890#zh#0 人们正在谈论城市的大发展
video7589#zh#0 一个男人在沙滩上接受采访
video7588#zh#0 一名男子在家中展示他的木地板成品
video9745#zh#0 一个男人戴着一顶帽子
video9744#zh#0 这是一个电视直播节目
video7587#zh#0 摔跤比赛中的两个男人
video7586#zh#0 女人在田野里用乐器演奏音乐的视频
video7581#zh#0 歌词是为这首歌写的
video7580#zh#0 一个谈论科幻和幻想灾难的女人
video7583#zh#0 公主试着在玛琳菲森面前不哭
video9742#zh#0 扮演雷神的演员谈论这部新电影
video9909#zh#0 一群人挨着坐在一起，一个人玩电子游戏
video7349#zh#0 一个白发苍苍的男人在采访别人
video7348#zh#0 一个女孩正在谈论婴儿产品
video7347#zh#0 一位女士正在解释如何在电脑上做某事
video7346#zh#0 一些人一边看电影一边开视频会议
video7345#zh#0 一名男子正在谈论如何让孩子们在来到学校场景时更容易学习
video9908#zh#0 一个女人在谈论教育
video7343#zh#0 一个人在修另一辆车
video7342#zh#0 当笼子打开后，一个老鼠从中走出并在一个人类手上寻找可以吃的东西
video7341#zh#0 在一次采访中，某人在倡导全民教育
video7340#zh#0 一个男人在车里谈论他的车的特点
video9403#zh#0 我看到一个王子想要娶一个女孩，并且还看到了彼得·潘在玩耍
video8426#zh#0 沙滩上的小木屋有着通往门廊的走道  
video9622#zh#0 在视频中，一些狗正在穿过马路
video8900#zh#0 一个女人在烘焙和装饰蛋糕
video8901#zh#0 男人们把汽车推下装配线
video8902#zh#0 一个男人正望着窗外，看着另一个从窗户跳下身亡的男人
video8903#zh#0 有鳄鱼要吃掉在过河的那群人
video8904#zh#0 一个女人在化妆室里讲述她的时间安排
video8905#zh#0 两个男人正在交谈
video8906#zh#0 BBC在报道某个不知名的亚洲国家的军事镇压
video8907#zh#0 复仇者联盟中的雷神场景
video8908#zh#0 一个穿着西装的白人在电视前谈论逻辑和法律
video8909#zh#0 参与制作纪录片的人员名单
video8835#zh#0 一个女人端上一碗汤，里面有东西
video7699#zh#0 一个戴着头带的男人正在演示如何打乒乓球
video7698#zh#0 两个女人正在停车场里步行
video7169#zh#0 一位女护士洗手后清洁桌面
video7168#zh#0 他在玩球
video7163#zh#0 一个年轻人正在抚摸一个年轻女孩的背
video7162#zh#0 一名女子在采访中与一名男子交谈
video7693#zh#0 这是一段关于魔方的视频
video7160#zh#0 一个卡通人物在沙发上睡着了
video7695#zh#0 一个男人正在搅拌锅里的东西
video7166#zh#0 一个人正在解释某事
video7165#zh#0 厨师在一个金属碗里准备食材
video7164#zh#0 使用起源引擎的计算机动画
video9699#zh#0 一个男人在解释如何做实验
video9698#zh#0 一位女士正在谈论她喜欢的剧集，第二喜欢的是AMC的行尸走肉
video9693#zh#0 厨师将鱼露和鱼酱添加到一个大不锈钢锅中
video9692#zh#0 一个穿着西装的男人正在电视经济节目中讲话
video9691#zh#0 一个马自达三在拐角处漂移的广告
video9690#zh#0 一名男子在一栋大楼外向媒体解释医院里某人的情况
video9697#zh#0 这位女士有一个婴儿监视器
video9696#zh#0 一个男人在折叠婴儿车
video9695#zh#0  文本说明了由一集口袋妖怪导致的癫痫发作
video9694#zh#0 一个人在烤土豆
video7765#zh#0 一个人正在讨论一辆车
video9524#zh#0 一群卡通面孔咬着牙，做出吃东西的姿势
video7767#zh#0 带字幕的幻灯片
video7766#zh#0 一个电子游戏玩家在玩电子游戏时被看到
