7CN3ENwfMBE_000096_000106#zh#0 一个穿着黑色衣服的人和另一个拿着纸在说话。
7CN3ENwfMBE_000096_000106#zh#1 几个男人在一个屋子里拿着一张纸练习对话。
7CN3ENwfMBE_000096_000106#zh#2 台上有好几个人在拿着白色的纸在排练节目。
7CN3ENwfMBE_000096_000106#zh#3 一个身穿深色上衣的人手里拿着纸张再向旁边的人解说。
7CN3ENwfMBE_000096_000106#zh#4 一个穿着黑色外套的男人手里拿着一张纸在讲话。
7CN3ENwfMBE_000096_000106#zh#5 一个表演教练与另一位演员开始一场演示技巧。
7CN3ENwfMBE_000096_000106#zh#6 一个男人正在描述一种不同的表演方式。
7CN3ENwfMBE_000096_000106#zh#7 一些男人拿着剧本正在练习他们的台词。
7CN3ENwfMBE_000096_000106#zh#8 一个人正在上课，讲述如何在舞台上表演某个场景。
7CN3ENwfMBE_000096_000106#zh#9 一个男人拿着一张纸，一边做动作一边说话。
rW0KwHhQZTE_000013_000023#zh#0 四个人用扳手和一个绿色的桶敲打成了一段音乐。
rW0KwHhQZTE_000013_000023#zh#1 四个人手上拿着扳手有节奏的敲击面前的桶。
rW0KwHhQZTE_000013_000023#zh#2 四个人拿着工具在敲打着一个绿色的桶。
rW0KwHhQZTE_000013_000023#zh#3 几个人在房间中使用扳手敲击塑料盒子。
rW0KwHhQZTE_000013_000023#zh#4 四个人手里拿着扳子正在敲打一个绿色的桶。
rW0KwHhQZTE_000013_000023#zh#5 一群青少年跪在一个翻到的水桶周围，并用扳手敲打它。
rW0KwHhQZTE_000013_000023#zh#6 四个人蹲坐在地上将一个大塑料桶当做鼓，手里各自拿着刀叉来敲打桶和地面，以此来演奏曲子。
rW0KwHhQZTE_000013_000023#zh#7 四个人围坐在一起用金属扳手在敲击一个东西。
rW0KwHhQZTE_000013_000023#zh#8 四个人坐在一个绿色的桶旁用一个施工工具击打它。
rW0KwHhQZTE_000013_000023#zh#9 几个人围着水桶跪坐在地上，用手中的工具敲打地面和水桶。
FL6U-yie3WE_000000_000010#zh#0 一个穿着黑色衣服的人，带着一个黑色的眼镜掉了下来。
